day,contract_address,name,total_supply,total_stablecoin_supply
2025-06-27,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,914681.73266,317105678.4610648
2025-06-27,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,18872834.257749,317105678.4610648
2025-06-27,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3151442.710499997,317105678.4610648
2025-06-27,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,58662994.00891803,317105678.4610648
2025-06-27,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-27,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,72790648.0448489,317105678.4610648
2025-06-27,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2531104.031322031,317105678.4610648
2025-06-27,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11412068.512496999,317105678.4610648
2025-06-27,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-26,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,12161305.985351998,317105678.4610648
2025-06-26,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-26,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,73301123.07214586,317105678.4610648
2025-06-26,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2540945.8434374034,317105678.4610648
2025-06-26,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3169231.5393375033,317105678.4610648
2025-06-26,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-26,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,919685.849227,317105678.4610648
2025-06-26,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-26,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,56526398.32353303,317105678.4610648
2025-06-26,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,18672841.257749,317105678.4610648
2025-06-25,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,860487.7265560001,317105678.4610648
2025-06-25,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,44403276.905918024,317105678.4610648
2025-06-25,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3193018.338567199,317105678.4610648
2025-06-25,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,21841321.899969,317105678.4610648
2025-06-25,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11864842.964026999,317105678.4610648
2025-06-25,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-25,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,72785197.8287466,317105678.4610648
2025-06-25,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2530818.3819390335,317105678.4610648
2025-06-25,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-25,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-24,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-24,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-24,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,43153592.58533703,317105678.4610648
2025-06-24,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,847969.4527710001,317105678.4610648
2025-06-24,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,23106980.899969,317105678.4610648
2025-06-24,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3141072.6734523936,317105678.4610648
2025-06-24,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-24,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,12114230.616447998,317105678.4610648
2025-06-24,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2515567.908049474,317105678.4610648
2025-06-24,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,74194441.50440417,317105678.4610648
2025-06-23,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2496909.266119019,317105678.4610648
2025-06-23,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,73262275.13897155,317105678.4610648
2025-06-23,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-23,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,12445735.677602999,317105678.4610648
2025-06-23,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,817122.246826,317105678.4610648
2025-06-23,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-23,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-23,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3237434.52913298,317105678.4610648
2025-06-23,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,25326615.79158,317105678.4610648
2025-06-23,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,41703816.01001003,317105678.4610648
2025-06-22,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-22,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,41980608.00347703,317105678.4610648
2025-06-22,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,816683.6520430001,317105678.4610648
